qty  price
2400 90.9919029745
2820 94.4812328466
-4770 100.318408092
-630 100.113759996
2600 103.304723067
-410 108.853640475
2740 105.838701657
-850 108.18515395
-1040 112.262244079
-1730 117.614590076
-1150 120.440298087
4160 120.287645863
-1660 123.936123027
-3180 126.114216125
2930 123.534686229
2010 125.785962163
-1070 129.062781496
3380 131.130549206
-2090 132.03515299
-4870 134.896278497
2340 134.653952142
-3890 133.168081443
-2560 138.244637961
-1420 137.949310019
-1300 135.921899456
-2850 135.128808838
-2480 132.78270638
-2350 126.155653068
-1010 125.917851751
-3720 125.251161042
-4080 115.337850698
4310 116.515094538
-4460 120.524761159
-4770 116.242275377
1060 113.689325228
1150 108.598091522
-3770 105.960530789
650 111.568090055
-2320 116.985731688
-230 113.504615282
-90 115.042986552
4200 113.615120425
-4680 121.164833453
-100 120.700184868
3660 120.565388363
3090 125.06000948
-1350 125.875626762
3040 135.186297732
2280 138.931043887
1730 141.38149422
-1090 142.643384282
-1460 137.525843912
540 130.769032978
1880 130.900026088
-170 138.56350662
880 150.152920334
4340 152.18126416
1950 145.167763358
-560 143.263162771
-2410 145.479725688
-4000 155.225404954
-2740 160.00254947
1950 166.118977176
-20 159.000660423
-750 159.26504746
-840 153.508545033
2270 147.224742268
-170 152.170088097
-4910 149.960870397
4130 150.890501788
-120 152.158499836
-3380 159.835635026
-2470 163.413063724
620 165.945664123
-1960 161.707131728
-2300 165.540918436
-3370 155.028397262
3890 151.827843172
2370 149.359969251
-3040 152.850574726
-2450 150.289670127
800 159.673521847
4550 151.149783118
-280 140.920257722
1320 141.457509213
-2180 140.977170115
3000 147.983711858
-950 145.9964289
2900 146.746249547
1530 150.51483107
-670 151.799130766
2830 151.687904605
-1780 160.544818694
-4730 157.567100684
-1190 154.262756481
-2880 158.091535981
2940 158.67360915
-3270 158.758314513
-3580 150.911226111
4680 144.828333753
800 146.834004709
-880 150.104895073
4030 147.246060585
-150 149.341217561
-4150 146.342346786
1470 134.853733647
3710 136.866577049
-4620 140.898717289
-4290 141.148398592
4910 138.003472574
370 134.546649584
-3970 141.463019094
2700 150.054095738
-1700 141.877850948
-2210 137.259898149
-2120 144.607674259
3380 156.240647072
-5000 170.60038524
-3540 168.324141122
-1610 178.727812768
790 182.523560806
-2330 187.846494088
-4580 185.370444381
-4150 175.760961064
4900 182.77048599
2900 169.354272421
2590 167.345789584
650 153.922848777
3640 154.952125031
1930 160.55547709
-1460 145.287874943
1760 143.140519153
-4790 142.265205188
4380 135.667212184
2550 130.3285477
-1250 133.083979857
-3410 145.020712802
830 141.767051737
-2490 133.588072913
3990 140.5956365
-70 134.733362984
-20 143.364121344
510 135.722337908
620 128.051461404
730 132.75360679
4710 141.328857773
-4320 139.685455552
-2190 132.756809367
3020 128.38278349
-2870 121.728369056
-150 117.35228862
-2410 117.107980176
-2490 113.231333774
20 113.920657711
-4490 110.015683247
-1070 106.702901849
430 108.489122462
-1470 108.504720955
1050 105.678266066
2500 104.819320459
1320 103.723316446
510 106.601672209
-710 105.626370563
-2230 107.65176937
2860 108.913157242
2350 106.13014128
4070 107.853618497
-650 109.182579311
2130 113.085929289
4940 118.081560859
-650 115.606013878
930 116.106859459
-1710 106.608178187
-2050 106.366122651
-310 109.93351396
3830 116.449034484
300 119.596121361
-1380 119.011269471
4110 115.359507051
2560 118.873695642
4880 112.699586487
3080 110.187244342
-1270 116.827669043
-4910 120.151395836
3520 124.183577147
-3420 115.623919395
-490 108.836208003
3510 109.145791597
-1310 113.112664216
-230 119.768958444
2490 122.443350941
-3010 120.165574391
1320 117.368260776
-120 122.851543389
-1310 115.316851305
3340 110.595682806
1270 108.127922761
-4530 110.167055594
2050 108.754972546
3990 98.4591802996
-4030 99.0430072764
-1810 100.324850376
-4570 101.023806358
-4590 112.664536286
3770 105.118586801
-1820 100.93092058
-2070 103.013031679
-3410 113.863852901
-3390 115.862854125
2330 112.338722489
-2260 105.457717649
-550 101.703066741
-180 101.772639716
-900 110.802829027
4280 111.165806063
480 117.880191216
-2150 119.325945649
-2010 121.502421748
2040 121.379375628
-4970 127.943855953
-4020 126.05930584
4290 127.175801845
-4930 120.457188646
1340 124.306143168
90 120.643951599
-1610 125.692459983
220 131.111211233
2060 132.513305935
3060 128.164087625
3280 134.248320439
-1090 137.30680635
-2520 144.941053332
1840 145.610725644
850 147.839598915
2200 136.927839955
3610 137.030108082
-800 136.197606647
-2310 145.923124106
-4220 152.614257388
1000 159.168842566
-3470 157.330262038
-3650 157.912752728
-2140 152.236369707
-1900 157.523609324
-4380 150.299556752
3830 155.84702475
-2150 165.147050273
3130 163.379945026
2610 160.898837194
-1510 154.079771953
1360 152.972911808
-540 143.029781724
1670 140.769331302
3630 148.438561175
-3830 154.897730057
240 151.036732247
4210 138.11133602
3620 139.788757692
1320 134.400893165
1200 130.005801723
4840 120.241258665
1670 116.558004839
2360 116.847310277
290 118.447477426
-3260 112.673306698
-2710 110.589290421
-3030 114.069105904
2130 105.919021033
3800 112.088816419
-140 107.664020957
3970 105.585549532
3780 100.773760756
500 106.66405506
-530 108.550206817
2580 108.454124344
2480 101.542305329
2360 103.875795232
-260 105.656697234
1740 109.038763457
-3960 104.244869586
1060 105.331791486
640 102.930502368
-1040 97.1904557208
3850 93.693658863
1560 93.3025475116
-420 98.0546268075
0 102.346155259
-1520 101.036508362
-670 102.759817469
-1870 100.695906757
-4120 105.506200242
1950 94.4481149466
-4390 98.2477688296
1810 99.8005694382
2700 99.2194740545
560 92.2107648449
3700 93.8047047266
-430 98.3732772264
-950 101.807372022
3390 102.976076959
-3590 96.8218857085
4450 96.7863337501
3150 90.1176512535
600 97.3050373499
-4090 98.1947764424
-1770 94.2488728206
-3550 95.0734930274
2060 97.3339987995
-3020 100.93955061
4980 102.282552736
-3170 97.9411574109
1720 105.667390614
2980 108.81222299
-1780 105.858087146
-180 105.886478465
-4250 106.81426344
-3470 105.413445207
4860 102.515037197
1690 101.879433243
3820 103.651357424
-4910 102.774940524
260 97.0299099196
-1620 101.998663966
-4550 98.7182427947
4060 101.936099351
1010 95.71571726
4990 96.2644642462
-2600 93.7860738282
1270 93.3425979314
1150 94.2874350457
2750 92.0708621888
-2620 96.1926416081
1050 89.6105894647
2000 95.5862520188
4050 96.3663764797
-3450 103.045976161
820 96.6942222232
-1730 96.2185642723
-130 102.344212301
50 105.114261248
4920 107.813757954
170 96.9294070137
-3270 97.6821020399
4880 96.8789196193
-4840 98.3309847187
-1980 97.7481767863
-3950 96.6061665602
400 98.5603118289
560 98.5192403129
-1360 98.3030882811
-1780 105.917227942
-2190 107.82056133
-4530 109.895001434
-650 114.730278948
-3320 114.185961529
-680 117.353164837
4160 111.191826993
-30 114.158168537
-1700 110.565803733
-3200 112.083134564
-2800 108.774778609
1860 100.018585509
2380 98.8649868642
-1850 94.751115464
-1450 90.0347883123
360 84.7884391961
-4830 80.3135600011
-280 81.0781577645
-180 84.2564088516
760 84.6182580982
4350 89.5673757171
-390 86.6561289777
60 94.1637651815
-3590 97.419226424
1000 102.837514468
